Town/City,Clerk,Address,Phone (Area Code 603),Fax,E-Mail,Town Website Address,Polling Hours,Polling Place
BEAN'S PURCHASE,LEONA KEALTY,74 VILLAGE RD BEAN'S PURCHASE 03581,466-2262,466-5271,TCTX@TOWNOFSHELBURNENH.GOV,Not Applicable,4:00 PM - 8:00 PM,SHELBURNE TOWN HALL 74 VILLAGE RD SHELBURNE - FOR POLLING LOCATION ONLY BEAN'S PURCHASE 03581
BEDFORD,WILLIAM P CARTER,24 NORTH AMHERST RD BEDFORD 03110,792-1306,472-4573,WCARTER@BEDFORDNH.GOV,WWW.BEDFORDNH.ORG,7:00 AM - 7:00 PM,BEDFORD HIGH SCHOOL 47 NASHUA RD BEDFORD 03110
BELMONT,JENNIFER CASHMAN,PO BOX 310 BELMONT 03220,267-8300,267-8305,TCTC@BELMONTNH.GOV,WWW.BELMONTNH.GOV,7:00 AM - 7:00 PM,BELMONT HIGH SCHOOL 255 SEAVEY RD BELMONT 03220
BENNINGTON,DEBRA L BELCHER,7 SCHOOL STREET BENNINGTON 03442,588-2189,588-8005,TOWNCLERK@TOWNOFBENNINGTON.COM,TOWNOFBENNINGTON.COM/,8:00 AM - 7:00 PM,BENNINGTON TOWN HALL 7 SCHOOL ST BENNINGTON 03442
BENTON,MICHAEL P STIEBITZ,110 FLANDERS ROAD BENTON 03785,787-6541,Not Applicable,MSTIEBITZ@ATT.NET,HTTPS://WWW.TOBENTONNH.ORG/,Not Applicable,BENTON TOWN BUILDING 221 COVENTRY RD BENTON 03785
BERLIN WARD 01,SHELLI A FORTIN,168 MAIN STREET BERLIN 03570,752-2340,752-8586,SFORTIN@BERLINNH.GOV,WWW.BERLINNH.GOV,08:00 AM - 07:00 PM,BERLIN RECREATION CENTER 672 FIRST AVE BERLIN 03570
BERLIN WARD 03,SHELLI A FORTIN,168 MAIN STREET BERLIN 03570,752-2340,752-8586,SFORTIN@BERLINNH.GOV,WWW.BERLINNH.GOV,8:00 AM - 7:00 PM,VFW 1107 MAIN ST BERLIN 03570
BETHLEHEM,MARY E JACKSON,PO BOX 185 BETHLEHEM 03574,869-2293,869-5500,TOWNCLERK@BETHLEHEMNH.ORG,BETHLEHEMNH.ORG,8:00 AM - 7:00 PM,BETHLEHEM TOWN HALL 2155 MAIN ST BETHLEHEM 03574
BETHLEHEM,MARY E JACKSON,PO BOX 185 BETHLEHEM 03574,869-2293,869-5500,TOWNCLERK@BETHLEHEMNH.ORG,BETHLEHEMNH.ORG,07:00PM - 11:00PM,PROFILE SCHOOL 691 PROFILE RD BETHLEHEM 03574
BOSCAWEN,NICOLE ELLEN HOYT,116 N MAIN STREET BOSCAWEN 03303,753-9188,753-9184,NHOYT@BOSCAWENNH.GOV,WWW.BOSCAWENNH.GOV,7:00 AM - 7:00 PM,BOSCAWEN PUBLIC LIBRARY 116 N MAIN ST BOSCAWEN 03303
BOW,MRIDULA SUDHIR NAIK,10 GRANDVIEW ROAD BOW 03304,223-3980,225-5428,MNAIK@BOWNH.GOV,WWW.BOWNH.GOV,7:00 AM - 7:00 PM,BOW MEMORIAL SCHOOL 20 BOW CENTER RD BOW 03304
BRADFORD,ERICA GROSS,PO BOX 607 BRADFORD 03221,938-2288,Not Applicable,TC@BRADFORDNH.GOV,WWW.BRADFORDNH.ORG,8:00 AM - 7:00 PM,BRADFORD TOWN HALL 75 WEST MAIN ST BRADFORD 03221
BRENTWOOD,DAPHNE WOSS,1 DALTON ROAD BRENTWOOD 03833,642-6400,642-6310,TOWNCLERK@BRENTWOODNH.GOV,WWW.BRENTWOODNH.GOV,7:00 AM - 7:00 PM,SWASEY CENTRAL SCHOOL 355 MIDDLE RD BRENTWOOD 03833
BRIDGEWATER,COLLEEN MARIE KENNY,PO BOX 419 BRIDGEWATER 03264,968-7911,968-3506,BRIDGEWATERTOWNCLERK1@GMAIL.COM,WWW.BRIDGEWATER-NH.COM,11:00 AM - 7:00 PM,BRIDGEWATER TOWN HALL 297 MAYHEW TPKE BRIDGEWATER 03222
BRISTOL,CHERYL A HERBERT,5 SCHOOL ST BRISTOL 03222,744-3354,744-2521,CHERBERT@BRISTOLNH.GOV,BRISTOLNH.GOV,8:00 AM - 7:00 PM,NEWFOUND REGIONAL HIGH SCHOOL 150 SUMMER ST BRISTOL 03222
BROOKFIELD,KAREN E SERVACEK,223 GOVERNORS RD BROOKFIELD 03872,522-3688,Not Applicable,TOWNCLERK@BROOKFIELDNH.ORG,WWW.BROOKFIELDNH.GOV,8:00 AM - 7:00PM,BROOKFIELD TOWN HOUSE 267 WENTWORTH RD BROOKFIELD 03872
BROOKLINE,PATRICIA A HOWARD-BARNETT,PO BOX 336 BROOKLINE 03033,673-8855,Not Applicable,PATTI@BROOKLINENH.GOV,HTTP://WWW.BROOKLINENH.GOV/,7:00 AM - 7:30 PM,CAPTAIN SAMUEL DOUGLAS ACADEMY 24 TOWNSEND HILL RD BROOKLINE 03033
CAMBRIDGE,DONNA M DEMERS,PO BOX 100 CAMBRIDGE 03579,482-3351,482-3804,ERROLTOWNCLERK@GMAIL.COM,ERROLTOWNCLERK@GMAIL.COM,11:00 AM - 7:00 PM,ERROL TOWN HALL 33 MAIN ST CAMBRIDGE 03579
CAMPTON,HANNAH B JOYCE,10 GEARTY WAY CAMPTON 03223,726-3223,726-9817,TCTX@CAMPTONNH.GOV,WWW.CAMPTONNH.ORG,8:00 AM - 7:00 PM,CAMPTON MUNICIPAL BUILDING 12 GEARTY WAY CAMPTON 03223
CANAAN,ANN M LABRIE,PO BOX 38 CANAAN 03741,523-4501,523-4526,ALABRIE@CANAANNH.ORG,WWW.CANAANNH.ORG,8:00 AM - 7:00 PM,CANAAN FIRE STATION 62 NH RT 118 CANAAN 03741
CANDIA,TRACEY BOUCHER,74 HIGH STREET CANDIA 03034,483-5573,483-0252,TOWNCLERK@TOWNOFCANDIA.ORG,WWW.CANDIANH.ORG,6:00 AM - 7:00 PM,CANDIA YOUTH ATHLETIC ASSOCIATION (CYAA) 27 RAYMOND RD CANDIA 03034
CANTERBURY,SAMUEL JEAN PETER PAPPS,PO BOX 500 CANTERBURY 03224,783-0153,783-0501,SPAPPS@CANTERBURYNH.GOV,WWW.CANTERBURYNH.GOV,7:00 AM - 7:00 PM,CANTERBURY ELEMENTARY SCHOOL 15 BAPTIST RD CANTERBURY 03224
CANTERBURY,SAMUEL JEAN PETER PAPPS,PO BOX 500 CANTERBURY 03224,783-0153,783-0501,SPAPPS@CANTERBURYNH.GOV,WWW.CANTERBURYNH.GOV,7:00 AM - 7:00 PM,OLD TOWN HALL 2 OLD TILTON RD CANTERBURY 03224
CARROLL,CRYSTAL B BAILEY,PO BOX 88 CARROLL 03595,846-5494,846-5713,TOWNCLERK@TOWNOFCARROLLNH.GOV,CARROLLNH.GOV,8:00 AM - 7:00 PM,CARROLL TOWN HALL 92 SCHOOL ST CARROLL 03595
CENTER HARBOR,AMY HORNKOHL,PO BOX 140 CENTER HARBOR 03226,253-4561,253-8420,TOWNCLERK@CENTERHARBORNH.GOV,WWW.CENTERHARBORNH.GOV,8:00 AM - 7:00 PM,CENTER HARBOR TOWN OFFICE 36 MAIN ST CENTER HARBOR 03226
CHANDLERS PURCHASE,CHRISTINA ZORNIO,20 PARK ST CHANDLERS PURCHASE 03581,446-2744,466-2744,CZORNIO@GORHAMNH.ORG,Not Applicable,Not Applicable,GORHAM TOWN HALL 20 PARK ST GORHAM - FOR POLLING LOCATION ONLY CHANDLERS PURCHASE 03581
CHARLESTOWN,PATRICIA E CHAFFEE,P O BOX 834 CHARLESTOWN 03603,826-5821,826-5181,PATRICIA@CHARLESTOWN-NH.GOV,WWW.CHARLESTOWN-NH.GOV,8:00 AM - 7:00 PM,CHARLESTOWN SENIOR CENTER 233 OLD SPRINGFIELD RD CHARLESTOWN 03603
CHATHAM,PATRICIA PITMAN,1071 MAIN ROAD CHATHAM 03813,694-2117,Not Applicable,TOWNCLERK@CHATHAMNH.ORG,CHATHAMNH.ORG,06:30 PM - 8:00 PM,CHATHAM TOWN HALL 1071 MAIN RD CHATHAM 03813
CHESTER,JUSTINE M CELENTANO,84 CHESTER STREET CHESTER 03036,887-3636,Not Applicable,JCELENTANO@CHESTERNH.ORG,WWW.CHESTERNH.ORG,7:00 AM - 7:00 PM,CHESTER MUNICIPAL OFFICE 84 CHESTER ST CHESTER 03036
CHESTERFIELD,MARY EWELL,PO BOX 64 CHESTERFIELD 03443,363-8071,363-8047,TOWNCLERK@NHCHESTERFIELD.COM,WWW.CHESTERFIELD.NH.GOV,10:00 AM - 7:00 PM,CHESTERFIELD SCHOOL 535 OLD CHESTERFIELD RD CHESTERFIELD 03443
CHESTERFIELD,MARY EWELL,PO BOX 64 CHESTERFIELD 03443,363-8071,363-8047,TOWNCLERK@NHCHESTERFIELD.COM,WWW.CHESTERFIELD.NH.GOV,10:00 AM - 7:00 PM,CHESTERFIELD TOWN HALL 522 ROUTE 63 CHESTERFIELD 03443
CHICHESTER,BONNIE POTTER,54 MAIN STREET CHICHESTER 03258,798-5350,798-3170,TOWNCLERK@CHICHESTERNH.ORG,WWW.CHICHESTERNH.ORG,10:00 AM - 7:00 PM,CHICHESTER CENTRAL SCHOOL 219 MAIN ST CHICHESTER 03258
CLAREMONT WARD 01,GWENDOLYN R MELCHER,58 OPERA HOUSE SQ CLAREMONT 03743,542-7003,542-7038,CITYCLERK@CLAREMONTNH.COM,WWW.CLAREMONTNH.COM,8:00 AM - 7:00 PM,CLAREMONT MIDDLE SCHOOL 107 SOUTH ST CLAREMONT 03743
CLAREMONT WARD 02,GWENDOLYN R MELCHER,58 OPERA HOUSE SQ CLAREMONT 03743,542-7003,542-7038,CITYCLERK@CLAREMONTNH.COM,WWW.CLAREMONTNH.COM,8:00 AM - 7:00 PM,CLAREMONT MIDDLE SCHOOL 107 SOUTH ST CLAREMONT 03743
CLAREMONT WARD 03,GWENDOLYN R MELCHER,58 OPERA HOUSE SQ CLAREMONT 03743,542-7003,542-7038,CITYCLERK@CLAREMONTNH.COM,WWW.CLAREMONTNH.COM,8:00 AM - 7:00 PM,DISNARD ELEMENTARY SCHOOL 160 HANOVER ST CLAREMONT 03743
CLARKSVILLE,KIMBERLY A JOYCE,408 NH ROUTE 145 CLARKSVILLE 03592,246-7751,246-3480,KIM@CLARKSVILLE.NH.GOV,TWNCLARK@YAHOO.COM,11:30 AM - 5:30 PM,CLARKSVILLE TOWN HALL 408 NH RT 145 CLARKSVILLE 03592
COLEBROOK,JOLENE MARIE MARTUNAS,17 BRIDGE STREET COLEBROOK 03576,237-5200,237-5069,JMARTUNAS@COLEBROOKNH.ORG,HTTPS://COLEBROOKNH.ORG,8:00 AM - 6:00 PM,COLEBROOK ELEMENTARY SCHOOL GYM 27 DUMONT ST COLEBROOK 03576
COLUMBIA,MARCIA LYNN PARKHURST,PO BOX 157 COLUMBIA 03576,237-5255,237-8270,TOWNCLERK@COLUMBIANH.ORG,TOWNCOLUMBIA@MYFAIRPOINT.NET,11:00 AM - 6:00 PM,COLUMBIA TOWN HALL 1919 US ROUTE 3 COLUMBIA 03576
CONCORD WARD 01,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,225-8500,225-8592,CITYCLERK@CONCORDNH.GOV,WWW.CONCORDNH.GOV,7:00 AM - 7:00 PM,MERRIMACK VALLEY HIGH SCHOOL GYMNASIUM 106 VILLAGE ST CONCORD 03303
CONCORD WARD 02,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,225-8500,225-8592,CITYCLERK@CONCORDNH.GOV,WWW.CONCORDNH.GOV,7:00 AM - 7:00 PM,THE BARN AT BULL MEADOW 63 BOG RD CONCORD 03303
CONCORD WARD 03,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,225-8500,225-8592,CITYCLERK@CONCORDNH.GOV,WWW.CONCORDNH.GOV,7:00 AM - 7:00 PM,BEAVER MEADOW SCHOOL 40 SEWALLS FALLS RD CONCORD 03301
CONCORD WARD 04,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,225-8500,225-8592,CITYCLERK@CONCORDNH.GOV,WWW.CONCORDNH.GOV,7:00 AM - 7:00 PM,GREEN STREET COMMUNITY CENTER 39 GREEN ST CONCORD 03301
CONCORD WARD 05,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,225-8500,225-8592,CITYCLERK@CONCORDNH.GOV,WWW.CONCORDNH.GOV,7:00 AM - 7:00 PM,CHRISTA MCAULIFFE SCHOOL 17 NORTH SPRING ST CONCORD 03301
CONCORD WARD 06,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,225-8500,225-8592,CITYCLERK@CONCORDNH.GOV,WWW.CONCORDNH.GOV,7:00 AM - 7:00 PM,CHRIST THE KING PARISH HALL 72 SOUTH MAIN ST CONCORD 03301
CONCORD WARD 07,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,225-8500,225-8592,CITYCLERK@CONCORDNH.GOV,WWW.CONCORDNH.GOV,7:00 AM - 7:00 PM,ABBOT DOWNING ELEMENTARY SCHOOL 152 SOUTH ST CONCORD 03301
CONCORD WARD 08,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,225-8500,225-8592,CITYCLERK@CONCORDNH.GOV,WWW.CONCORDNH.GOV,7:00 AM - 7:00 PM,BEKTASH TEMPLE 189 PEMBROKE RD CONCORD 03301
CONCORD WARD 09,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,225-8500,225-8592,CITYCLERK@CONCORDNH.GOV,WWW.CONCORDNH.GOV,07:00 AM - 07:00 PM,CITYWIDE COMMUNITY CENTER 14 CANTERBURY RD CONCORD 03301
CONCORD WARD 10,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,225-8500,225-8592,CITYCLERK@CONCORDNH.GOV,WWW.CONCORDNH.GOV,7:00 AM - 7:00 PM,BROKEN GROUND SCHOOL 51 SOUTH CURTISVILLE RD CONCORD 03301
CONWAY,LOUISE MARIE INKELL,PO BOX 2680 CONWAY 03818,447-3811,447-1348,LINKELL@CONWAYNH.ORG,WWW.CONWAYNH.ORG,8:00 AM - 7:00 PM,CONWAY TOWN GARAGE/PUBLIC WORKS GARAGE 1611 EAST MAIN ST CONWAY 03813
CORNISH,PAULA HARTHAN,PO BOX 183 CORNISH 03746,675-5207,675-5605,P.HARTHAN.CLERK@CORNISH.NH.GOV,WWW.CORNISHNH.NET,10:00 AM - 07:00 PM,CORNISH ELEMENTARY SCHOOL 274 TOWN HOUSE RD CORNISH 03745
CORNISH,PAULA HARTHAN,PO BOX 183 CORNISH 03746,675-5207,675-5605,P.HARTHAN.CLERK@CORNISH.NH.GOV,WWW.CORNISHNH.NET,10:00 AM - 07:00 PM,CORNISH TOWN HALL 294 TOWN HOUSE RD CORNISH 03745
CRAWFORD'S PURCHASE,CHRISTINA ZORNIO,20 PARK ST CRAWFORD'S PURCHASE 03581,466-2744,466-2744,CZORNIO@GORHAMNH.ORG,Not Applicable,Not Applicable,GORHAM TOWN HALL 20 PARK ST GORHAM - FOR POLLING LOCATION ONLY CRAWFORD'S PURCHASE 03581
CROYDON,PAUL MICHAEL FREITAS,879 NH RT 10 CROYDON 03773,863-7830,Not Applicable,TOWNCLERK@CROYDON-NH.COM,WWW.CROYDON-NH.COM,11:00 AM - 7:00 PM,CROYDON TOWN HALL 879 NH ROUTE 10 CROYDON 03773
CUTT'S GRANT,CHRISTINA ZORNIO,20 PARK ST CUTT'S GRANT 03581,466-2744,466-2744,CZORNIO@GORHAMNH.ORG,Not Applicable,Not Applicable,GORHAM TOWN HALL 20 PARK ST GORHAM - FOR POLLING LOCATION ONLY CUTT'S GRANT 03581
DALTON,JEANETTE TERESA CHARON,756 DALTON ROAD DALTON 03598,837-2092,837-9642,TOWN.CLERK@TOWNOFDALTON.COM,WWW.TOWNOFDALTONNH.GOV,8:00 AM - 7:00 PM,DALTON MUNICIPAL BUILDING 756 DALTON RD DALTON 03598
DANBURY,TRICIA J TAYLOR,23 HIGH STREET DANBURY 03230,768-5448,768-5448,CLERK@DANBURYNH.GOV,WWW.TOWNOFDANBURYNH.COM,11:00 AM - 7:00 PM,DANBURY TOWN HALL 23 HIGH ST DANBURY 03230
DANVILLE,MICHELLE HEALY,210 MAIN STREET DANVILLE 03819,382-8253,Not Applicable,MHEALY@TOWNOFDANVILLE.ORG,WWW.TOWNOFDANVILLE.ORG,8:00 AM - 8:00 PM,DANVILLE COMMUNITY CENTER 169 MAIN ST DANVILLE 03819
DEERFIELD,KELLY ROBERTS,PO BOX 159 DEERFIELD 03037,463-8811,463-2820,TWN@DEERFIELDNH.GOV,WWW.TOWNOFDEERFIELDNH.COM,07:00 AM - 07:00 PM,DEERFIELD FAIRGROUNDS 34 STAGE RD DEERFIELD 03037
DEERFIELD,KELLY ROBERTS,PO BOX 159 DEERFIELD 03037,463-8811,463-2820,TWN@DEERFIELDNH.GOV,WWW.TOWNOFDEERFIELDNH.COM,07:00 AM - 07:00 PM,TOWN HALL 10 CHURCH ST DEERFIELD 03037
DEERING,ANNETTE M POLAND,762 DEERING CENTER ROAD DEERING 03244,464-3224,Not Applicable,TOWNCLERK@DEERINGNH.GOV,WWW.DEERING.NH.US,8:00 AM - 7:00 PM,DEERING TOWN HALL 762 DEERING CENTER RD DEERING 03244
DERRY WARD 01,CRISTINA GUILFORD,14 MANNING STREET DERRY 03038,432-6105,432-8176,TOWNCLERK@DERRYNH.GOV,WWW.DERRYNH.GOV,7:00 AM - 8:00 PM,PINKERTON ACADEMY (DIST 1) 5 PINKERTON (DIST 1) ST DERRY 03038
DERRY WARD 02,CRISTINA GUILFORD,14 MANNING STREET DERRY 03038,432-6105,432-8176,TOWNCLERK@DERRYNH.GOV,WWW.DERRYNH.GOV,7:00 AM - 8:00 PM,PINKERTON ACADEMY (DIST 2) 5 PINKERTON (DIST 2) ST DERRY 03038
DERRY WARD 03,CRISTINA GUILFORD,14 MANNING STREET DERRY 03038,432-6105,432-8176,TOWNCLERK@DERRYNH.GOV,WWW.DERRYNH.GOV,7:00 AM - 8:00 PM,PINKERTON ACADEMY (DIST 3) 5 PINKERTON (DIST 3) ST DERRY 03038
DERRY WARD 04,CRISTINA GUILFORD,14 MANNING STREET DERRY 03038,432-6105,432-8176,TOWNCLERK@DERRYNH.GOV,WWW.DERRYNH.GOV,7:00 AM - 8:00 PM,PINKERTON ACADEMY (DIST 4) 5 PINKERTON (DIST 4) ST DERRY 03038
DIX'S GRANT,DONNA M DEMERS,33 MAIN STREET DIX'S GRANT 03579,482-3351,482-5069,ERROLTOWNCLERK@GMAIL.COM,Not Applicable,3:00PM - 7:00PM,ERROL TOWN HALL 33 DUMONT ST DIX'S GRANT 03576
DIXVILLE,DEBORAH TILLOTSON,1 WILDERNESS ROAD DIXVILLE 03576,571-0069,Not Applicable,DEBTT@TANGO175.COM,Not Applicable,NOON - 1:00,TILLOTSON HOUSE 1 TILLOTSON RD RD DIXVILLE 03576
DORCHESTER,DARLENE E OAKS,1021 NH RTE 118 DORCHESTER 03266,786-9476,786-9476,TCTC.DORCHESTER@GMAIL.COM,TOWNOFDORCHESTER.NET,11:00 AM - 7:00 PM,DORCHESTER TOWN HOUSE 24 TOWN HOUSE RD DORCHESTER 03266
DOVER WARD 01,JERRICA ANN VANSYLYVONG-BIZIER,288 CENTRAL AVE DOVER 03820,516-6018,516-6666,J.BIZIER@DOVER.NH.GOV,WWW.DOVER.NH.GOV,7:00 AM - 7:00 PM,FRANCES G HOPKINS ELEMENTARY SCHOOL 78 HORNE ST DOVER 03820
DOVER WARD 02,JERRICA ANN VANSYLYVONG-BIZIER,288 CENTRAL AVE DOVER 03820,516-6018,516-6666,J.BIZIER@DOVER.NH.GOV,WWW.DOVER.NH.GOV,7:00 AM - 7:00 PM,DOVER ICE ARENA 110 PORTLAND AVE DOVER 03820
DOVER WARD 03,JERRICA ANN VANSYLYVONG-BIZIER,288 CENTRAL AVE DOVER 03820,516-6018,516-6666,J.BIZIER@DOVER.NH.GOV,WWW.DOVER.NH.GOV,7:00 AM - 7:00 PM,WOODMAN PARK ELEMENTARY SCHOOL 11 TOWLE AVE DOVER 03820
DOVER WARD 04,JERRICA ANN VANSYLYVONG-BIZIER,288 CENTRAL AVE DOVER 03820,516-6018,516-6666,J.BIZIER@DOVER.NH.GOV,WWW.DOVER.NH.GOV,7:00 AM - 7:00 PM,GARRISON ELEMENTARY SCHOOL 50 GARRISON RD DOVER 03820
DOVER WARD 05,JERRICA ANN VANSYLYVONG-BIZIER,288 CENTRAL AVE DOVER 03820,516-6018,516-6666,J.BIZIER@DOVER.NH.GOV,WWW.DOVER.NH.GOV,7:00 AM - 7:00 PM,DOVER MIDDLE SCHOOL 16 DALEY DR DOVER 03820
DOVER WARD 06,JERRICA ANN VANSYLYVONG-BIZIER,288 CENTRAL AVE DOVER 03820,516-6018,516-6666,J.BIZIER@DOVER.NH.GOV,WWW.DOVER.NH.GOV,7:00 AM - 7:00 PM,HELLENIC CENTER 219 LONG HILL RD DOVER 03820
DUBLIN,SARAH WHITNEY WILCOX,Po Box 62 DUBLIN 03444,563-8859,563-9221,TOWNCLERK@TOWNOFDUBLIN.ORG,WWW.TOWNOFDUBLIN.ORG,8:00 AM - 7:00 PM,DUBLIN TOWN HALL 1120 MAIN ST DUBLIN 03444
DUMMER,JUDY MARCOU,75 HILL ROAD DUMMER 03588,449-2006,Not Applicable,DUMMERTOWNCLERK@GMAIL.COM,WWW.DUMMERTOWNCLERK@GMAIL.COM,11:00 AM - 7:00 PM,DUMMER TOWN HALL 75 HILL RD DUMMER 03588
DUNBARTON,JENNIFER P CORMIER,1011 SCHOOL STREET DUNBARTON 03046,774-3547,Not Applicable,TOWNCLERK@DUNBARTONNH.ORG,DUNBARTONNH.ORG,7:00 AM - 7:00 PM,NOYES COMMUNITY CENTER 20 ROBERT ROGERS RD DUNBARTON 03046
DURHAM,RACHEL DEANE,8 NEWMARKET ROAD DURHAM 03824,868-5577,868-1858,rdeane@ci.durham.nh.us,HTTP://WWW.CI.DURHAM.NH.US,7:00 AM - 7:00 PM,OYSTER RIVER HIGH SCHOOL 55 COE DR DURHAM 03824
EAST KINGSTON,SHELBY ANN BRINKERHOFF,PO BOX 249 EAST KINGSTON 03827,642-8406,642-4918,SBRINKERHOFF@EASTKINGSTONNH.GOV,WWW.EKNH.ORG,8:00 AM - 7:00 PM,EAST KINGSTON ELEMENTARY SCHOOL (MULTI-PURPOSE ROOM) 5 ANDREWS LN EAST KINGSTON 03827
